,goal,state,currency_trailing_code,staff_pick,backers_count,static_usd_rate,name_len_clean,blurb_len_clean,country_AU,country_CA,country_DE,country_FR,country_GB,country_IT,country_NL,country_US,currency_CAD,currency_EUR,currency_GBP,currency_USD,category_Experimental,category_Festivals,category_Flight,category_Gadgets,category_Hardware,category_Immersive,category_Makerspaces,category_Musical,category_Plays,category_Robots,category_Software,category_Sound,category_Wearables,category_Web,created_to_launch,launch_to_deadline,launch_to_state_change,twf_launch
13,-0.2693819215710376,0.0,1.0,0.0,-0.4648205279783956,1.0,1.1941629966082437,0.27742443209572654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.8986111111111,30.0,30.0,0.0
14,0.17362218205810204,0.0,1.0,0.0,-0.45093533203287606,0.87457233,0.3687676633559082,-0.6566675275342438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.386805555555555,-191.0,-191.0,0.0
15,-0.34690763970613697,0.0,0.0,0.0,-0.4648205279783956,1.09160057,-1.6947206697749304,-1.2793955006208908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.02638888888889,-29.0,-29.0,0.0
16,-0.21400640861739512,0.0,1.0,0.0,-0.4301075381145966,1.0,-1.6947206697749304,-0.3453035409909204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,122.77222222222223,62.0,62.0,1.0
17,8.978328741687251,0.0,1.0,0.0,-0.4648205279783956,0.11907187,-1.6947206697749304,-1.2793955006208908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3395833333333333,30.0,30.0,0.0
18,7.8708184826144025,0.0,1.0,0.0,-0.4648205279783956,1.0,-0.869325336522595,0.27742443209572654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-191.9451388888889,-27.0,-27.0,0.0
19,3.4407774463230067,0.0,1.0,0.0,-0.45787793000563587,1.0,0.781465329982076,-0.033939554447596915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.020833333333333,60.0,60.0,0.0
20,0.4504997468263143,0.0,1.0,0.0,-0.4648205279783956,0.76430745,-1.6947206697749304,-0.6566675275342438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.81458333333336,78.81458333333333,78.81458333333333,1.0
21,-0.38013294747832244,0.0,1.0,0.0,-0.45787793000563587,1.0,0.781465329982076,-1.2793955006208908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.452777777777776,30.0,30.0,1.0
22,-0.4244333578412364,0.0,1.0,0.0,-0.381509352305278,1.0,-0.869325336522595,-0.033939554447596915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.78402777777778,132.0,132.0,0.0
23,-0.10325538271011021,0.0,1.0,0.0,-0.4648205279783956,1.0,0.781465329982076,-0.033939554447596915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.066666666666666,-30.0,-30.0,1.0
24,0.3951242338726718,0.0,1.0,0.0,-0.45787793000563587,0.16675683,-0.869325336522595,-2.5248514467941847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.68472222222222,353.0,353.0,0.0
